Symbol,Name,Price,Change,Market Cap,PE Ratio
TD,The Toronto-Dominion Bank,60.65,-0.24,111861000000.0,9.89
BX,Blackstone Inc.,83.0,-0.28,98892000000.0,101.22
BLK,"BlackRock, Inc.",650.99,8.97,98484000000.0,20.37
SCHW,The Charles Schwab Corporation,49.05,1.32,88940000000.0,13.33
WFC-PQ,Wells Fargo & Company,25.01,1.45,201015000000.0,5.18
MS,Morgan Stanley,82.27,-0.36,139212000000.0,14.31
WFC,Wells Fargo & Company,37.42,-0.92,141343000000.0,10.88
RY,Royal Bank of Canada,95.81,-0.41,133401999999.99998,12.22
HDB,HDFC Bank Limited,67.82,0.69,126223000000.0,26.19
C,Citigroup Inc.,45.39,-0.64,89025000000.0,6.28
TD,The Toronto-Dominion Bank,60.65,-0.24,111919000000.0,9.89
BX,Blackstone Inc.,83.0,-0.28,98886000000.0,101.21
SCHW,The Charles Schwab Corporation,49.05,1.32,88936000000.0,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.37,0.0,89234000000.0,28.18
